Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,"$79K-$127K
(Glassdoor est.)","Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA",-1,1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1
Data Analyst,"$60K-$87K
(Glassdoor est.)","Job Description

A Data Analyst designs, executes and interprets past and real time data to identify trends, reconcile inconsistencies, and make recommendations to improved IT Service Delivery This includes active analysis of the traditional ITSM Event, Incident, Request, Problem, Knowledge, Change, Configuration and Release processes.

What Youll Get to Do:
Monitors and queries the IT Service Delivery platform to analyze demand, usage, and performance
Uses data analytics to provide actionable, timely and accurate reporting to improve service delivery, infrastructure management, and conduct proactive problem and incident management.
Works with the ITSM Process Leads and Customer Engagement teams to identify and monitor process performance and service provider performance
Analyze, define, and report on trends identified in the data
Facilitate Technical Exchange Meeting related to data structure, quality assurance, and reporting
Leverage the various reporting and presentation tools to provide analysis and recommendations
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement data collection solutions, data analytics, and other strategies that optimize statistical efficiency and quality of information
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Work with management to prioritize business and information needs
Locate and define new process improvement and Continual Service Improvement (CSI) opportunities
Youll Bring These Qualifications:
Active TS/SCI with Poly required
A bachelor's degree OR equivalent experience/4+ years of IT experience AND 1+ year of data analyst, performance management, and service delivery reporting
ITIL Foundations certification
A good understanding of IT Service Management delivery
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Knowledge of statistics and experience with statistical tools to analyze data sets (Excel, SPSS, or SAS)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
These Qualifications Would be Nice to Have:
Experience with the ServiceNow toolset
Experience with Tableau
Degree in Mathematics, Economics, Computer Science, Information Management or Statistics
ITIL Intermediate Certifications
What We Can Offer You:
Weve been named a Best Place to Work by the Washington Post.
Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.
We offer competitive benefits and learning and development opportunities.
We are mission-oriented and ever vigilant in aligning our solutions with the nations highest priorities.
For over 55 years, the principles of CACIs unique, character-based culture have been the driving force behind our success.
allspark

BITS3

Job Location

US-Chantilly-VA-VIRGINIA SUBURBAN

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.7,"CACI International
3.7","Chantilly, VA",-1,10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
Data Scientist,"$70K-$95K
(Glassdoor est.)","Description

Position at Homes.com

Homes.com is looking for a Data Scientist in Norfolk, VA to join our team of IT professionals. You'll be working with our Business Intelligence Team to support and grow our premier real estate portal. You'll participate in technical research, developing models, data analysis, machine learning and be expected to bring your own ideas to the table to help keep us innovating.

Responsibilities:
Forecast site traffic for use in inventory calculations
Analyze and report on trends such as home valuations
Develop suggestion models
Help develop image classification models
Requirements:
BS or MS in computer science, data science, mathematics or other related field
2+ Years working as a Data Scientist
1+ Years Experience working with Time Series modeling
Experience working with Jupyter Notebooks
Experience working in R and Python
Experience providing Statistical Analysis
Nice to Haves:
Experience working in a cloud environment
Experience working with a relational database

About Homes.com

Homes.com offers today's demanding home buyers, renters and those somewhere in between a simply smarter home search. With features like Homes.com Match, HomeShare and Snap & Search, homeshoppers now have a more personalized way to search for their next home. Since its launch over 25 years ago, Homes.com offers real estate professionals brand and property advertising, search engine marketing and instant response lead generation to help them succeed online. For more information, visit Homes.com.

About DE

Dominion Enterprises (DE) is a leading digital marketing and software services company offering client solutions across multiple business verticals. Our customers rely on our B2B cloud SaaS solutions to establish their online and mobile brands, generate leads, and manage customer relationships through our Homes.com, Dominion Dealer Solutions, Dominion Business Solutions / DX1, Travel Media and Franchise and Business Opportunity divisions. Our B2C web and mobile applications include Homes.com, HotelCoupons.com, FranchiseOpportunities.com, FranchiseGator.com, Franchise.com, and BusinessBroker.net.
About 2,000 employees reside and work in our Norfolk, VA home office and in offices across the U.S. Our employees will tell you about our collaborative, innovative, team-oriented work environment, excellent career enrichment opportunities, community service opportunities, competitive earnings, and a comprehensive benefits package that includes a generous 401(k). DE is an equal opportunity employer and supports a diverse workforce. DE is a drug-testing employer.",4.1,"Homes.com
4.1","Norfolk, VA",-1,201 to 500 Employees,1998,Company - Private,Real Estate,Real Estate,$50 to $100 million (USD),-1
Data Scientist,"$80K-$111K
(Glassdoor est.)","Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.7,"IFG Companies
2.7","Atlanta, GA",-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
Marketing and Data Analyst,"$42K-$76K
(Glassdoor est.)","Marketing and Data Analyst (Kansas City, MO)

At Edelman Financial Engines, we believe every hardworking American deserves to move their financial life forward, and we’re growing our team so we can help more clients every day.

As a Marketing and Data Analyst on the Retail Optimization team, you will support the strategic planning of the Retail and Marketing teams within the Retail Organization.

We are looking for someone who has outstanding SQL Query skills and is able to perform detailed market funnel analysis from data gained, to help us improve campaign performance and drive growth. If you are a client-focused analyst, this may be the opportunity for you!

Responsibilities:
Design new and maintain existing marketing performance reports and dashboards, including but not limited to seminar registrations, traffic to registration pages, marketing campaign performance, lead follow up, cost per lead, and conversion reports.
Create presentations that present insights found in the data in an easy to understand format telling the story that encompasses statistics, graphs, and other tools as needed.
Using SQL, create automated Tableau dashboards, and structured ad hoc analyses to help drive sales and Marketing efficiencies.
Perform in-depth marketing funnel analysis to identify opportunities to optimize campaign performance driving growth in lead conversion and ultimately profitability.
Monitor/track competitive and market trends, report findings/conclusions, make recommendations when appropriate.
Collaborate with business stakeholders to provide strategic input and interpretation of the marketing results.
Act as a marketing liaison to IT and the Business Support Group.
Support the Retail and Marketing teams on a wide range of analytics, reporting, and ad hoc projects.
Participate in special projects and perform other duties as assigned.
Essential Skill Requirements:
SQL, Tableau, Excel, and excellent knowledge of PowerPoint
Ability to identify and report KPI metrics related to lead/client growth and revenue generation alongside the actionable insight
Excellent analytical, quantitative, and problem-solving skills with the ability to collect, organize, synthesize and disseminate large amounts of information
Applied knowledge of statistics and experience using statistical packages for analyzing large data sets
Strong attention to detail ensuring all department reports reconcile
Comfortable working in a fast-moving environment with quickly changing priorities
Ability to successfully work in a team environment
1-2 years’ analytics experience in a marketing environment utilizing tableau
Management Consulting experience preferred
Experience with report development and automation of updates in tableau
Experience building tableau dashboards presenting results in a graph/chart that is clear and concise
Education Requirements:
Bachelor degree required in a quantitative field (e.g., industrial engineering, math, operations research, or statistics)
Master's degree with a concentration in math, statistics, business/marketing analytics, data engineering, operations research, or other discipline stressing quantitative/analytic skills required
About Edelman Financial Engines

Since 1986, Edelman Financial Engines has been committed to always acting in the best interest of our clients. We were founded on the belief that all American investors – not just the wealthy – deserve access to personalized, comprehensive financial planning, and investment advice. Today, we are America’s top independent financial planning and investment advisor, recognized by both InvestmentNews1 and Barron’s2 with 170+ planner offices across the country and entrusted by more than 1.2 million clients to manage more than $213 billion in assets. Our unique approach to serving clients combines our advanced methodology and proprietary technology with the attention of a dedicated personal financial planner. Every client’s situation and goals are unique, and the powerful fusion of high-tech and high-touch allows Edelman Financial Engines to deliver the personal plan and financial confidence that everyone deserves.

For more information, visit www.EdelmanFinancialEngines.com and www.FinancialEngines.com

© 2019 Edelman Financial Engines™, LLC All rights reserved. All advisory services provided by Financial Engines Advisors L.L.C. Financial Engines Advisors does not guarantee future results.

For California residents, please see the link for the Privacy Notice for Candidates. California law requires that we provide you this notice about the collection and use of your personal information. Please read it carefully and reach out to Jill O’Connell (857-305-8555 or joconnell@edelmanfinancialengines.com) with any questions.

Edelman Financial Engines encourages success based on our individual merits and abilities without regard to race, color, religion, creed, sex, gender identity or expression, sexual orientation, pregnancy, marital, domestic partner, or civil union status, national origin, citizenship, ancestry, ethnic heritage, genetic information, age, legally recognized disability, military service or veteran status.

1 Ranking and status for 2019. For independence methodology and ranking, see InvestmentNews Center (http://data.investmentnews.com/ria/);

2 The 2019 Top 50 Independent Advisory Firm Ranking issued by Barron’s is qualitative and quantitative, including assets managed, the size and experience of teams, and the regulatory records of the advisers and firms. Firms elect to participate, but do not pay to be included in the ranking. Investor returns/experience are not considered. 2018 ranking refers to Edelman Financial Services (EFS), which combined its advisory business in its entirety with Financial Engines Advisors L.L.C. (FEA) in November 2018. For the same survey, FEA received a precombination ranking of twelfth.",3.3,"Edelman Financial Engines
3.3","Kansas City, MO",-1,1001 to 5000 Employees,1986,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
Software Engineer - Data Visualization,"$60K-$127K
(Glassdoor est.)","Join ClearEdge and be a part of the team of men and women that solve some of the DoD’s most complex technical challenges. Every day, ClearEdge empowers customers in Government and industry with innovative data driven solutions.
Check out our extremely competitive benefits package at clearedgeit.com/benefits which includes a 10k annual training/education benefit, tech bonuses, and state of the art technology lab. We also offer monthly TechConnect and DeepDive collaboration sessions with our entire technical staff, fully paid.

Your mission: Work with a dynamic team and key stakeholders to generate and execute challenging solutions to mission problems.
We are seeking Software Engineers of all levels who are experienced with data visualization, interactive data-driven visualizations, and user interface design. The position requires a self-starter with excellent problem-solving skills. The right person will work closely with the customer to gather requirements for the design and development of data visualization software, techniques, and algorithms.
The candidate should have experience creating and building custom, re-usable data visualizations based on statistical and mathematical modeling and data analysis to be used to solve a variety of problems related to data reporting. Seeking engineers with the ability to overcome information overload, are familiar with accessibility compliance, information design, and human factors and usability design.
You will excel in this role if you are:
Results-oriented developer who can leverage your technical skills and techniques to successfully design, develop, and deploy analytic software solutions
Self-motivated with a desire to build new skills
Are familiar with Agile frameworks and methodologies with a desire to be a certified SCRUM Master
Enjoy learning new technologies, are a forward thinker, and are interested in growing your career with a cutting-edge technology company
A day in the life consists of:
Designing, developing, and deploying data visualizations, interactive dashboards, and user interface solutions
Applying knowledge of technical computing platforms, tools, and techniques to analyze information and data requirements obtained from data scientists, analysts, and other business stakeholders
Planning and proposing solutions for the optimization of data integration strategies, intuitive designs, and enterprise interactive dashboards
Formulating simulation models of operational problems and proposed solutions related to integrating and analyzing using dynamic data visualizations that incorporate intuitive interfaces, infographics, interactive drill-downs, movements
Working across multi-functional teams to formulate, prototype, implement, and fine tune solutions
Educating product development and operations teams on the use of data visualizations developed
Collecting feedback to make continuous improvements to new and existing data visualizations
Contributing to guidelines and design conventions and standards for modeling and data visualizations
Establishing strong, collaborative working relationships with Government customers, technical staff, and peers
What we are expecting from you:
Experience in the design, development, and deployment of software systems
Bachelor’s or Advanced degree in Computer Science, Computer Engineering, or other technical discipline
Front-end application frameworks such as Vue, React, Angular
HTML/CSS frameworks such as Bootstrap, Zurb, Material
Experience developing client-side applications using JavaScript
JavaScript libraries such as Bootstrap, jQuery, Leaflet, D3.js
Strong analysis and problem-solving experience
Nice to have:
Comfortable meeting with customers and peers to explore change requests, bugs and new ideas
Customer technical support experience
Documentation experience, to include up-front design documentation


About us: Experienced advanced analytic development company providing new Cyber solutions to current and emerging missions.
Our Core Values of Honesty, Integrity, Loyalty, Fairness, Respect, Responsibility, and Accountability drive our mission and vision and are the heart of what we do each day. We combine our Core Values with the three key elements of people, technology, and integrity to repeatedly deliver stellar results within our primary competencies.
ClearEdge is also pleased to share that we have recently expanded our prime and subcontract presence into new Cyber markets!
If this position does not fit your skillset, please visit our Careers page to explore our current openings, or contact a ClearEdge recruiter at careers@clearedgeit.com. ClearEdge is an equal opportunity employer.",4.1,"ClearEdge
4.1","Annapolis Junction, MD",-1,51 to 200 Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1
Population Health Data Analyst,"$39K-$69K
(Glassdoor est.)","Job Summary

The Healthcare Intelligence Analyst employs advanced analytics to gain critical insights into member health drivers, product/program concepts and value propositions, operational effectiveness and efficiencies, member specific health gaps and needs. This position is responsible for obtaining data from various sources, understanding relevant differences between each data source and creating database structures and reports for analysis and possible production reporting. The Healthcare Intelligence Analyst provides analytics to support Blue Cross Blue Shield of North Dakota’s (BCBSND) initiatives around population health management, health care cost transformation and value-based programs.

Essential Functions
Mines for and integrates data from multiple, and varied sources, and applies business rules for the purpose of creating analytic data sets. Aggregates raw data from the data warehouse and other data sources and transforms into actionable formats. Performs statistical and data analyses through the manipulation of large data sets.
Develops and maintains databases and systems necessary for data analysis projects and data support functions. Develops and implements processes, documentation and other strategies to optimize statistical efficiency and data quality. Develops reports and visual outputs (e.g., tables, graphs, dashboards) that effectively communicate the analytical findings to stakeholders.
Researches and analyzes data to provide descriptive and predictive analytical insights. Develops necessary models and translates these outcomes into actionable solutions and programs for customers to build and/or improve programs and processes. Develops, formats and communicates results in a manner that meets the needs of stakeholders. Assists in identifying, compiling and providing key metrics in order to measure performance and guide improvement initiatives.
Partners with internal and external stakeholders to understand data needs and deliver insightful analytic solutions. Works closely with other divisions to develop methods to gather and extract appropriate, accurate and timely data. Proactively communicates with all stakeholders.
Provides assistance to various departments and management by recommending appropriate statistical analysis techniques for various projects. Assists other divisions within the company with statistical analysis, as necessary.
Knowledge, Skills and Abilities
Communication (Verbal/Written)

Intermediate
Business Acumen

Intermediate
Research and Data Analysis

Intermediate
Analytical Thinking

Intermediate
Business Analytics

Intermediate
Technical/Professional Knowledge and Skills

Intermediate

Education Requirements
Required: Bachelor's

Preferred: Master's
Field(s) of Study: Statistics, Economics, Mathematics or related field

Experience Requirements
Required: Minimum of 3 Years

Preferred: Minimum of 3 Years
Experience Details: Minimum of 3 years of statistical, data or population health analysis is required

Certification, Licensures& Registration Requirements
Title: N/A

State or Agency: N/A

Equivalent combination of education, experience or training determined to be acceptable by Human Resources may be substituted, unless regulated by contract or program standards

Other Information

Job Posting Policy

Employees new to Blue Cross Blue Shield of North Dakota are eligible to apply for positions within their assigned department after successfully completing 90-days in their role. For positions outside of their department, new employees should attain a minimum of six months of service before applying for a new role. Exceptions to this are acceptable, provided there is good business justification for making the move.

Equal Opportunity Employment

Equal Opportunity Employer of Minorities, Females, Protected Veterans and Individual with Disabilities, as well as Sexual Orientation or Gender Identity.

For questions, please emailcareers@bcbsnd.com

This job posting will be closed 9/28/2020 at 8:00AM CST. No further applications will be considered.",2.9,"Blue Cross Blue Shield of North Dakota
2.9","Fargo, ND",-1,501 to 1000 Employees,1940,Company - Private,Insurance Carriers,Insurance,Less than $1 million (USD),-1
Data Scientist,"$72K-$117K
(Glassdoor est.)","Research and Sciences

Qualifications:

Embark on a career putting innovative, reliable, and agile products and ideas into orbit, and beyond. Northrop Grumman has opportunities waiting for you that play a vital role in human space exploration, national defense, and scientific discovery, supporting multiple programs across the universe. With us, you'll discover a culture of curiosity and collaboration that will have you Defining Possible from the day you start. Our space systems connect and protect millions of people on earth every day, now and for the future. Explore your future and launch your career today.

Northrop Grumman Space Systems is seeking a Data Scientist This position will be located at Hill AFB, UT and will support the Ground Subsystems Support Contract (GSSC) program.

The successful applicant will:
Develop and implement artificial intelligence and machine learning models to solve complex data problems
Interpret large amounts of data using advanced visualization techniques and tools
Merge and transform big datasets to ensure data integrity and usability
Develop a process to maintain quality and performance of statistical models and quickly identify enhancements opportunities
Communicate advanced concepts and information in an understandable manner for audiences of varying levels of competency
Maintain an up-to-date knowledge of technology trends
Properly document code, artifact description, implementation, and use cases
Be an eager and fast learner
Work on a fast pasted collaborative team in an agile environment
As a full-time employee of Northrop Grumman Space Systems, you are eligible for our robust benefits package including:
Medical, Dental & Vision coverage
401k
Educational Assistance
Life Insurance
Employee Assistance Programs & Work/Life Solutions
Paid Time Off
Health & Wellness Resources
Employee Discounts
This position's standard work schedule is a 9/80. The 9/80 schedule allows employees who work a nine-hour day Monday through Thursday to take every other Friday off.

UTSpace",3.8,"Northrop Grumman
3.8","Hill AFB, UT",-1,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Data Scientist l,"$81K-$137K
(Glassdoor est.)","Data Scientist l

Job Details
Level
Experienced
Job Location
New York - New York, NY
Position Type
Full Time
Education Level
4 Year Degree
Salary Range
Undisclosed
Travel Percentage
None
Job Shift
Undisclosed
Job Category
Information Technology
Description
Greater New York Mutual Insurance Company (""GNY"") is an A+ rated, financially stable and growing property casualty insurance company with locations throughout the Northeast.

We are currently looking for a dynamic and highly motivated Data Scientist for our New York office.

Responsibilities:
Provide innovative solutions on big data by utilizing machine learning techniques
Develop, implement, and maintain predictive and machine learning models
Utilizing machine learning techniques on pricing refinement, claims insights, and business decisions
Provide visualization solutions for portfolio management
Present business solutions based on machine learning models to senior management
Qualifications
Bachelor’s or Master’s degree obtained from an accredited institution preferably in Data Science, Statistics, Computer Science, Actuarial, or a related field
3-5 years of professional experience specialized in machine learning
Strong background in data science, machine learning, and visualization
Excellent understanding of machine learning techniques and algorithms including classification, clustering, regression, decision tree, random forest, neural networks, deep learning etc.
Proficient in R, Python, SQL, VBA, Tableau
Excellent oral and written communication skills",3.8,"GNY Insurance Companies
3.8","New York, NY",-1,201 to 500 Employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
Data Scientist,"$83K-$135K
(Glassdoor est.)","Data Scientist

Language: English

Location: Memphis, TN

Travel: <10>

Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Position Summary
Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Competencies Needed for Success
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred Qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis",3.6,"Buckman
3.6","Memphis, TN",-1,1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
"Data Scientist, Health Economics & Advanced Analytics","$81K-$134K
(Glassdoor est.)","Overview


Avalere Health is seeking a Data Scientist to join our Health Economics & Advanced Analytics (HEAA) Practice. The HEAA practice works with life sciences companies and other healthcare sectors to quantify and communicate the real-world value of healthcare interventions and to align our clients’ business strategies with the evidentiary demands of an increasingly value-driven marketplace. We are driven by deep subject matter expertise, differentiated and proprietary real-world data assets, and an emphasis on sound business strategy coupled with rigorous research and advanced analytic capabilities. The data scientist will serve at the Research Scientist II level and lead and participate in the conceptualization, execution, and delivery of analyses in health economics, comparative effectiveness, performance measure development and testing, outcomes research, and epidemiology.

Responsibilities

Principal Duties and Responsibilities:


Lend deep statistical, epidemiological, and/or econometric expertise to the development of proposals, statements of work, and study protocols/statistical analysis plans
Perform descriptive and advanced statistical analyses using large patient and/or claims databases in support of data mining, predictive modeling, and health outcomes research projects
Develop and author study reports, scientific publications, conference abstracts, and posters
Independently manage workflow and make direct contributions to the research process
Collaborate with cross-functional project teams (project leads, project managers, programmers, research assistants, etc.) to support exceptional execution for clients
Support the growth and development of junior staff focused on related areas
Qualifications

Skills, Experience, and Other Job Related Requirements:


Minimum Requirements:
MA/MS or PhD in epidemiology, data science, health economics, health policy, pharmacy administration, public health, statistics, or related discipline
5+ years of consulting, healthcare, or pharmaceutical/device industry experience
Broad technical knowledge of computational science, including applied statistics, econometrics, predictive modeling, and/or AI/machine learning theory and methods
Proficiency designing and executing observational/outcomes research studies using large administrative medical and pharmacy claims, EMR, and other data derived from various public and private databases
5+ years of experience using statistical software packages such as SAS, R, Python, and/or STATA
3+ years of SQL programming experience
Knowledge of advanced analytics, AI/machine learning theory and methods, and/or econometrics
Experience presenting research results at scientific conferences and/or a record of peer-reviewed publications
Additional Skills and Competencies:
Consulting background preferred
Excellent writing, project management, communication, and presentation skills
Ability to independently manage multiple work streams with limited supervision
Demonstrated problem solving, analytical reasoning, and decision-making skills and strong commitment to meeting goals and deadlines
Excellent teamwork skills and ability to work in a fast-paced, multi-disciplinary environment
Self-motivated with a positive, flexible attitude",3.2,"Avalere Health
3.2","Washington, DC",-1,201 to 500 Employees,2000,Company - Public,Consulting,Business Services,Less than $1 million (USD),-1
